strain	strain	Data Source	genbank_accession	pango_lineage	Nuc.Completeness	Sequence Length	Sequence Quality	Quality Assessment	Host	Sample Collection Date	Location
EGY/EGY_CCHE57357_P_39/2020	EGY/EGY_CCHE57357_P_39/2020	Nextstrain	MW467504	B.1.1.1	Complete	29903	High	NA	Homo sapiens	2020/7/28	Egypt
Estonia/Cov0495/2020	Estonia/Cov0495/2020	Nextstrain	OU277776	B.1.1.10	Complete	29903	High	NA	Homo sapiens	2020/9/22	Estonia
Estonia/Cov10254/2021	Estonia/Cov10254/2021	Nextstrain	OU277902	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/3/12	Estonia
Estonia/Cov1350/2020	Estonia/Cov1350/2020	Nextstrain	OU278249	B.1.160	Complete	29903	High	NA	Homo sapiens	2020/10/12	Estonia
Estonia/Cov8538/2021	Estonia/Cov8538/2021	Nextstrain	OU278746	B.1	Complete	29903	High	NA	Homo sapiens	2021/2/7	Estonia
Estonia/Cov8576/2021	Estonia/Cov8576/2021	Nextstrain	OU278680	B.1.177.60	Complete	29903	High	NA	Homo sapiens	2021/2/8	Estonia
ETH/S15/2021	ETH/S15/2021	Nextstrain	OL840816	B.1	Complete	29903	High	NA	Homo sapiens	2021/5/1	Ethiopia
ETH/S7/2021	ETH/S7/2021	Nextstrain	OL840808	B.1	Complete	29903	High	NA	Homo sapiens	2021/1/23	Ethiopia
FRA/IHUMI6145/2022	FRA/IHUMI6145/2022	Nextstrain	ON898599	BA.5.1	Complete	29903	High	NA	Homo sapiens	2022/5/13	France
GAB/4721_Gabon/2021	GAB/4721_Gabon/2021	Nextstrain	OM732084	B.1.1.318	Complete	29903	High	NA	Homo sapiens	2021/4/6	Gabon
GAB/5236_Gabon/2021	GAB/5236_Gabon/2021	Nextstrain	OM732125	B.1.1.318	Complete	29903	High	NA	Homo sapiens	2021/5/6	Gabon
GAB/5590_Gabon/2021	GAB/5590_Gabon/2021	Nextstrain	OM732142	B.1.1.318	Complete	29903	High	NA	Homo sapiens	2021/5/26	Gabon
GAB/56_Gabon/2020	GAB/56_Gabon/2020	Nextstrain	OM731936	A	Complete	29903	High	NA	Homo sapiens	2020/3/14	Gabon
GAB/5625_Gabon/2021	GAB/5625_Gabon/2021	Nextstrain	OM732144	B.1.1.318	Complete	29903	High	NA	Homo sapiens	2021/5/28	Gabon
GAB/6709_Gabon/2021	GAB/6709_Gabon/2021	Nextstrain	OM732187	B.1.1.318	Complete	29903	High	NA	Homo sapiens	2021/7/6	Gabon
GAB/7257_Gabon/2021	GAB/7257_Gabon/2021	Nextstrain	OM732204	AY.122	Complete	29903	High	NA	Homo sapiens	2021/9/20	Gabon
GEO/MM202054/2020	GEO/MM202054/2020	Nextstrain	MT231246	B	Complete	29903	High	NA	Homo sapiens	2020/2/27	Georgia
GHA/WACCBIP_nCoV_GS14/2020	GHA/WACCBIP_nCoV_GS14/2020	Nextstrain	MW523399	B.1.1	Complete	29903	High	NA	Homo sapiens	2020/8/24	Ghana
GHA/WACCBIP_nCoV_GS16/2020	GHA/WACCBIP_nCoV_GS16/2020	Nextstrain	MW523401	B.1.1	Complete	29903	High	NA	Homo sapiens	2020/8/31	Ghana
GIN/C1/2020	GIN/C1/2020	Nextstrain	MZ619091	B.1	Complete	29903	High	NA	Homo sapiens	2020/5/14	Guinea
GIN/C2/2020	GIN/C2/2020	Nextstrain	MZ622025	B.1	Complete	29903	High	NA	Homo sapiens	2020/5/13	Guinea
GRC/225_35203/2020	GRC/225_35203/2020	Nextstrain	MT459893	B.1	Complete	29903	High	NA	Homo sapiens	2020/3/18	Greece
HG994210	HG994210	Nextstrain	HG994210	B.1	Complete	29903	High	NA	Homo sapiens	2020/8/4	Poland
HG994337	HG994337	Nextstrain	HG994337	B.1	Complete	29903	High	NA	Homo sapiens	2020/12/29	Poland
Homosapines/BRA/hCoV_19_Brazil_RJ_FIOCRUZ_LABMOF_69/2020	Homosapines/BRA/hCoV_19_Brazil_RJ_FIOCRUZ_LABMOF_69/2020	Nextstrain	MZ191508	N.9	Complete	29903	High	NA	Homo sapiens	2020/12/9	Brazil
Homospiens/BHR/22020207043_S47_L001/2022	Homospiens/BHR/22020207043_S47_L001/2022	Nextstrain	ON384947	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/9	Bahrain
Homospiens/BHR/22020210197_S85_L001/2022	Homospiens/BHR/22020210197_S85_L001/2022	Nextstrain	ON384958	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/10	Bahrain
Homospiens/BHR/22120187929_S39_L001/2022	Homospiens/BHR/22120187929_S39_L001/2022	Nextstrain	ON384809	BA.2.10	Complete	29903	High	NA	Homo sapiens	2022/4/10	Bahrain
HOMOSPIENS/BHR/22120197881/2022	HOMOSPIENS/BHR/22120197881/2022	Nextstrain	ON849010	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/4	Bahrain
Homospiens/BHR/22510048146_S89_L001/2022	Homospiens/BHR/22510048146_S89_L001/2022	Nextstrain	ON384821	BA.2.10	Complete	29903	High	NA	Homo sapiens	2022/4/14	Bahrain
HOMOSPIENS/BHR/22920341813/2022	HOMOSPIENS/BHR/22920341813/2022	Nextstrain	ON848976	BA.2.40.1	Complete	29903	High	NA	Homo sapiens	2022/6/3	Bahrain
HOMOSPIENS/BHR/22920344188/2022	HOMOSPIENS/BHR/22920344188/2022	Nextstrain	ON848997	BA.5.2	Complete	29903	High	NA	Homo sapiens	2022/6/5	Bahrain
HOMOSPIENS/BHR/22920351344/2022	HOMOSPIENS/BHR/22920351344/2022	Nextstrain	ON848963	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/11	Bahrain
Homospiens/BHR/5902327419_S77_L001/2022	Homospiens/BHR/5902327419_S77_L001/2022	Nextstrain	ON384993	BA.2.10	Complete	29903	High	NA	Homo sapiens	2022/4/10	Bahrain
HOMOSPIENS/BHR/R15902413556/2022	HOMOSPIENS/BHR/R15902413556/2022	Nextstrain	ON849002	BA.5.2	Complete	29903	High	NA	Homo sapiens	2022/6/3	Bahrain
HOMOSPIENS/BHR/R15902415294/2022	HOMOSPIENS/BHR/R15902415294/2022	Nextstrain	ON848974	BA.2.40.1	Complete	29903	High	NA	Homo sapiens	2022/6/5	Bahrain
HOMOSPIENS/BHR/R25902414744/2022	HOMOSPIENS/BHR/R25902414744/2022	Nextstrain	ON849038	BA.5.2	Complete	29903	High	NA	Homo sapiens	2022/6/4	Bahrain
HOMOSPIENS/BHR/R35902416284/2022	HOMOSPIENS/BHR/R35902416284/2022	Nextstrain	ON849024	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/5	Bahrain
HOMOSPIENS/BHR/R45902414930/2022	HOMOSPIENS/BHR/R45902414930/2022	Nextstrain	ON848961	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/4	Bahrain
Homospiens/BHR/R522690048347_S62_L001/2022	Homospiens/BHR/R522690048347_S62_L001/2022	Nextstrain	ON384862	BA.2.10	Complete	29903	High	NA	Homo sapiens	2022/4/14	Bahrain
HongKong/54_0302/2020	HongKong/54_0302/2020	Nextstrain	MT232692	B	Complete	29903	High	NA	Homo sapiens	2020/2/13	Hong Kong
Iceland/4085/2020	Iceland/4085/2020	Nextstrain	OU165210	B.1.1.232	Complete	29903	High	NA	Homo sapiens	2020/8/7	Iceland
Iceland/5325/2020	Iceland/5325/2020	Nextstrain	OU167094	B.1.177	Complete	29903	High	NA	Homo sapiens	2020/8/18	Iceland
Iceland/6063/2020	Iceland/6063/2020	Nextstrain	OU168247	B.1.177.45	Complete	29903	High	NA	Homo sapiens	2020/12/1	Iceland
Iceland/6362/2020	Iceland/6362/2020	Nextstrain	OU168707	B.1.1.232	Complete	29903	High	NA	Homo sapiens	2020/8/30	Iceland
IND/CD208560/2020	IND/CD208560/2020	Nextstrain	MW969757	B.1.1.306	Complete	29903	High	NA	Homo sapiens	2020/9/16	India
IND/GBRC350a/2020	IND/GBRC350a/2020	Nextstrain	MT941274	B.1.36.8	Complete	29903	High	NA	Homo sapiens	2020/6/18	India
IND/GBRC356/2020	IND/GBRC356/2020	Nextstrain	MT950193	B.1.36.8	Complete	29903	High	NA	Homo sapiens	2020/6/25	India
IND/GBRC439a/2020	IND/GBRC439a/2020	Nextstrain	MW595916	B.1	Complete	29903	High	NA	Homo sapiens	2020/11/10	India
IND/GBRC568a/2021	IND/GBRC568a/2021	Nextstrain	MZ314688	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/3/20	India
IND/hospital_2_319/2021	IND/hospital_2_319/2021	Nextstrain	MZ724481	B.1.617.2	Complete	29903	High	NA	Homo sapiens	2021/4/20	India
IND/LNHD132/2022	IND/LNHD132/2022	Nextstrain	ON060006	BA.2	Complete	29903	High	NA	Homo sapiens	2022/1/18	India
IND/LNHD140/2022	IND/LNHD140/2022	Nextstrain	ON060014	BA.2	Complete	29903	High	NA	Homo sapiens	2022/1/18	India
IND/LNHD142/2022	IND/LNHD142/2022	Nextstrain	ON060016	BA.2	Complete	29903	High	NA	Homo sapiens	2022/1/18	India
IND/LNHD157/2022	IND/LNHD157/2022	Nextstrain	ON060031	BA.2	Complete	29903	High	NA	Homo sapiens	2022/1/18	India
IND/LNHD160/2022	IND/LNHD160/2022	Nextstrain	ON060034	BA.2	Complete	29903	High	NA	Homo sapiens	2022/1/18	India
IND/LNHD165/2022	IND/LNHD165/2022	Nextstrain	ON060039	BA.2	Complete	29903	High	NA	Homo sapiens	2022/1/18	India
IND/LNHD168/2022	IND/LNHD168/2022	Nextstrain	ON060042	BA.2	Complete	29903	High	NA	Homo sapiens	2022/1/18	India
IND/LNHD175/2022	IND/LNHD175/2022	Nextstrain	ON060049	BA.2.10	Complete	29903	High	NA	Homo sapiens	2022/1/18	India
IND/LNHD176/2022	IND/LNHD176/2022	Nextstrain	ON060050	BA.2	Complete	29903	High	NA	Homo sapiens	2022/1/18	India
IRL/AIIDB0470/2021	IRL/AIIDB0470/2021	Nextstrain	ON350967	AY.50	Complete	29903	High	NA	Homo sapiens	2021/7/30	Ireland
IRL/AIIDV1752/2021	IRL/AIIDV1752/2021	Nextstrain	ON350868	B.1.351	Complete	29903	High	NA	Homo sapiens	2021/2/24	Ireland
IRL/AIIDW008/2020	IRL/AIIDW008/2020	Nextstrain	ON350867	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2020/12/21	Ireland
IRN/3279/2020	IRN/3279/2020	Nextstrain	MZ314342	B.1.1	Complete	29903	High	NA	Homo sapiens	2020/12/5	Iran
IRN/4058/2020	IRN/4058/2020	Nextstrain	MZ314348	B.1.36.8	Complete	29903	High	NA	Homo sapiens	2020/9/25	Iran
IRQ/Erbil3/2021	IRQ/Erbil3/2021	Nextstrain	MZ221119	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/3/9	Iraq
IRQ/Erbil4/2021	IRQ/Erbil4/2021	Nextstrain	MZ267227	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/3/9	Iraq
ISR/NH_M1_0614/2020	ISR/NH_M1_0614/2020	Nextstrain	MW228070	B.1.1.50	Complete	29903	High	NA	Homo sapiens	2020/6/14	Israel
ITA/CH360/2020	ITA/CH360/2020	Nextstrain	MW423684	B.1.258	Complete	29903	High	NA	Homo sapiens	2020/12/22	Italy
ITA/Milan_ICCS_3/2020	ITA/Milan_ICCS_3/2020	Nextstrain	MT955360	B.1	Complete	29903	High	NA	Homo sapiens	2020/5/1	Italy
ITA/Padova_03/2022	ITA/Padova_03/2022	Nextstrain	ON062195	BA.1	Complete	29903	High	NA	Homo sapiens	2022/2/20	Italy
JAM/202112020/2021	JAM/202112020/2021	Nextstrain	OM320367	AY.107	Complete	29903	High	NA	Homo sapiens	2021/2/11	Jamaica
JAM/JPL1688113/2022	JAM/JPL1688113/2022	Nextstrain	OM961134	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/5	Jamaica
Japan/Donner110/2020	Japan/Donner110/2020	Nextstrain	BS000787	B.1.1.214	Complete	29903	High	NA	Homo sapiens	2020/11/14	Japan
Japan/Donner419/2021	Japan/Donner419/2021	Nextstrain	BS001083	B.1.1.214	Complete	29903	High	NA	Homo sapiens	2021/2/22	Japan
Japan/Donner71/2020	Japan/Donner71/2020	Nextstrain	BS000749	B.1.1.284	Complete	29903	High	NA	Homo sapiens	2020/7/27	Japan
Japan/DP0361/2020	Japan/DP0361/2020	Nextstrain	LC570997	B	Complete	29903	High	NA	Homo sapiens	2020/2/16	Japan
KEN/C113809/2022	KEN/C113809/2022	Nextstrain	ON198026	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/10	Kenya
KEN/C113818/2022	KEN/C113818/2022	Nextstrain	ON198029	BA.1.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/11	Kenya
KEN/C115415/2022	KEN/C115415/2022	Nextstrain	ON198074	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/23	Kenya
KEN/C116840/2022	KEN/C116840/2022	Nextstrain	ON602768	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/20	Kenya
KEN/C117214/2022	KEN/C117214/2022	Nextstrain	ON652726	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/19	Kenya
KEN/C117449/2022	KEN/C117449/2022	Nextstrain	ON844217	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/7	Kenya
KEN/C117458/2022	KEN/C117458/2022	Nextstrain	ON844219	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/7	Kenya
KEN/C117503/2022	KEN/C117503/2022	Nextstrain	ON844293	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/8	Kenya
KEN/C117582/2022	KEN/C117582/2022	Nextstrain	ON872011	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/13	Kenya
KEN/C117595/2022	KEN/C117595/2022	Nextstrain	ON872014	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/13	Kenya
KEN/C117633/2022	KEN/C117633/2022	Nextstrain	ON872019	BA.4.1	Complete	29903	High	NA	Homo sapiens	2022/6/14	Kenya
KEN/C117641/2022	KEN/C117641/2022	Nextstrain	ON872021	BE.1	Complete	29903	High	NA	Homo sapiens	2022/6/14	Kenya
KEN/C117654/2022	KEN/C117654/2022	Nextstrain	ON872026	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/14	Kenya
KEN/C117680/2022	KEN/C117680/2022	Nextstrain	ON872032	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/14	Kenya
KEN/C117699/2022	KEN/C117699/2022	Nextstrain	ON872035	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/15	Kenya
KEN/C117711/2022	KEN/C117711/2022	Nextstrain	ON872041	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/15	Kenya
KEN/C117732/2022	KEN/C117732/2022	Nextstrain	ON872043	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/16	Kenya
KEN/C117771/2022	KEN/C117771/2022	Nextstrain	ON872047	BA.4.1	Complete	29903	High	NA	Homo sapiens	2022/6/17	Kenya
KEN/C117773/2022	KEN/C117773/2022	Nextstrain	ON872049	BA.4.1	Complete	29903	High	NA	Homo sapiens	2022/6/17	Kenya
KEN/C173068/2022	KEN/C173068/2022	Nextstrain	ON198082	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/10	Kenya
KEN/C66815/2020	KEN/C66815/2020	Nextstrain	OL454597	B.1	Complete	29903	High	NA	Homo sapiens	2020/10/27	Kenya
KEN/C67971/2020	KEN/C67971/2020	Nextstrain	OL691347	B.1.549	Complete	29903	High	NA	Homo sapiens	2020/10/29	Kenya
KEN/C92034/2021	KEN/C92034/2021	Nextstrain	OL914875	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/4/12	Kenya
KEN/SS2008/2021	KEN/SS2008/2021	Nextstrain	OK258353	AY.16	Complete	29903	High	NA	Homo sapiens	2021/8/25	Kenya
KEN/SS266/2021	KEN/SS266/2021	Nextstrain	OL913279	B.1.351	Complete	29903	High	NA	Homo sapiens	2021/2/24	Kenya
KEN/SS4133/2021	KEN/SS4133/2021	Nextstrain	OL913030	AY.46	Complete	29903	High	NA	Homo sapiens	2021/10/25	Kenya
KEN/SS4992/2022	KEN/SS4992/2022	Nextstrain	ON198171	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/19	Kenya
KEN/SS4993/2022	KEN/SS4993/2022	Nextstrain	ON198172	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/19	Kenya
KEN/SS5261/2021	KEN/SS5261/2021	Nextstrain	ON198351	BA.1.1	Complete	29903	High	NA	Homo sapiens	2021/12/27	Kenya
KEN/SS6026/2022	KEN/SS6026/2022	Nextstrain	ON198491	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/9	Kenya
KEN/SS6304/2022	KEN/SS6304/2022	Nextstrain	ON198656	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/22	Kenya
KEN/SS6308/2022	KEN/SS6308/2022	Nextstrain	ON198659	BA.2.38	Complete	29903	High	NA	Homo sapiens	2022/2/2	Kenya
KEN/SS6309/2022	KEN/SS6309/2022	Nextstrain	ON198660	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/2	Kenya
KEN/SS6312/2022	KEN/SS6312/2022	Nextstrain	ON198662	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/9	Kenya
KEN/SS6341/2022	KEN/SS6341/2022	Nextstrain	ON198672	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/24	Kenya
KEN/SS6597/2022	KEN/SS6597/2022	Nextstrain	ON198690	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/10	Kenya
KEN/SS6605/2022	KEN/SS6605/2022	Nextstrain	ON198694	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/10	Kenya
KEN/SS6609/2022	KEN/SS6609/2022	Nextstrain	ON198696	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/10	Kenya
KEN/SS6662/2022	KEN/SS6662/2022	Nextstrain	ON198728	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/18	Kenya
KEN/SS6688/2022	KEN/SS6688/2022	Nextstrain	ON198744	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/24	Kenya
KEN/SS6781/2022	KEN/SS6781/2022	Nextstrain	ON198826	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/18	Kenya
KEN/SS6845/2022	KEN/SS6845/2022	Nextstrain	ON198861	BA.1.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/14	Kenya
KEN/SS6855/2022	KEN/SS6855/2022	Nextstrain	ON198862	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/14	Kenya
KEN/SS6859/2022	KEN/SS6859/2022	Nextstrain	ON198865	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/15	Kenya
KEN/SS6865/2022	KEN/SS6865/2022	Nextstrain	ON198870	BA.1	Complete	29903	High	NA	Homo sapiens	2022/1/17	Kenya
KEN/SS6879/2022	KEN/SS6879/2022	Nextstrain	ON198882	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/20	Kenya
KEN/SS6887/2022	KEN/SS6887/2022	Nextstrain	ON198888	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/18	Kenya
KEN/SS6891/2022	KEN/SS6891/2022	Nextstrain	ON198890	BA.1.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/18	Kenya
KEN/SS6905/2022	KEN/SS6905/2022	Nextstrain	ON198902	BA.1.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/3	Kenya
KEN/SS6906/2022	KEN/SS6906/2022	Nextstrain	ON198903	BA.1.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/3	Kenya
KEN/SS6907/2022	KEN/SS6907/2022	Nextstrain	ON198904	BA.1.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/3	Kenya
KEN/SS6949/2022	KEN/SS6949/2022	Nextstrain	ON198930	BA.1.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/26	Kenya
KEN/SS6953/2022	KEN/SS6953/2022	Nextstrain	ON198934	BA.2	Complete	29903	High	NA	Homo sapiens	2022/1/27	Kenya
KEN/SS6967/2022	KEN/SS6967/2022	Nextstrain	ON198943	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/1	Kenya
KEN/SS6969/2022	KEN/SS6969/2022	Nextstrain	ON198944	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/1	Kenya
KEN/SS6972/2022	KEN/SS6972/2022	Nextstrain	ON198945	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/5	Kenya
KEN/SS6973/2022	KEN/SS6973/2022	Nextstrain	ON198946	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/7	Kenya
KEN/SS6975/2022	KEN/SS6975/2022	Nextstrain	ON198947	BA.1	Complete	29903	High	NA	Homo sapiens	2022/2/15	Kenya
KEN/SS7487/2022	KEN/SS7487/2022	Nextstrain	ON602898	BA.2.3.2	Complete	29903	High	NA	Homo sapiens	2022/2/24	Kenya
KEN/SS7488/2022	KEN/SS7488/2022	Nextstrain	ON602899	BA.2.3.2	Complete	29903	High	NA	Homo sapiens	2022/2/24	Kenya
KEN/SS7492/2022	KEN/SS7492/2022	Nextstrain	ON602901	BA.2.3.2	Complete	29903	High	NA	Homo sapiens	2022/3/2	Kenya
KEN/SS7493/2022	KEN/SS7493/2022	Nextstrain	ON602902	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/8	Kenya
KEN/SS7497/2022	KEN/SS7497/2022	Nextstrain	ON602903	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/18	Kenya
KEN/SS7945/2022	KEN/SS7945/2022	Nextstrain	ON602975	BA.1.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/12	Kenya
KEN/SS8011/2022	KEN/SS8011/2022	Nextstrain	ON603024	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/30	Kenya
KEN/SS8012/2022	KEN/SS8012/2022	Nextstrain	ON603025	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/5	Kenya
KEN/SS8013/2022	KEN/SS8013/2022	Nextstrain	ON603026	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/3/26	Kenya
KEN/SS8014/2022	KEN/SS8014/2022	Nextstrain	ON603027	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/5	Kenya
KEN/SS8015/2022	KEN/SS8015/2022	Nextstrain	ON603028	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/4	Kenya
KEN/SS8016/2022	KEN/SS8016/2022	Nextstrain	ON603029	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/28	Kenya
KEN/SS8017/2022	KEN/SS8017/2022	Nextstrain	ON603030	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/4	Kenya
KEN/SS8019/2022	KEN/SS8019/2022	Nextstrain	ON603031	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/6	Kenya
KEN/SS8191/2021	KEN/SS8191/2021	Nextstrain	ON603189	AY.122	Complete	29903	High	NA	Homo sapiens	2021/9/28	Kenya
KEN/SS8291/2022	KEN/SS8291/2022	Nextstrain	ON603223	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/12	Kenya
KEN/SS8364/2022	KEN/SS8364/2022	Nextstrain	ON603279	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/4/7	Kenya
KEN/SS8366/2022	KEN/SS8366/2022	Nextstrain	ON603280	BA.2.3	Complete	29903	High	NA	Homo sapiens	2022/4/22	Kenya
KEN/SS8370/2022	KEN/SS8370/2022	Nextstrain	ON603284	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/20	Kenya
KEN/SS8371/2022	KEN/SS8371/2022	Nextstrain	ON603285	BA.2.3	Complete	29903	High	NA	Homo sapiens	2022/4/20	Kenya
KEN/SS8374/2022	KEN/SS8374/2022	Nextstrain	ON603287	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/21	Kenya
KEN/SS8376/2022	KEN/SS8376/2022	Nextstrain	ON603288	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/11	Kenya
KEN/SS8381/2022	KEN/SS8381/2022	Nextstrain	ON603291	BA.2.12.1	Complete	29903	High	NA	Homo sapiens	2022/5/10	Kenya
KEN/SS8383/2022	KEN/SS8383/2022	Nextstrain	ON603293	BA.2.12.1	Complete	29903	High	NA	Homo sapiens	2022/5/11	Kenya
KEN/SS8386/2022	KEN/SS8386/2022	Nextstrain	ON603296	BA.2.12.1	Complete	29903	High	NA	Homo sapiens	2022/5/6	Kenya
KEN/SS8389/2022	KEN/SS8389/2022	Nextstrain	ON603299	BA.2.31	Complete	29903	High	NA	Homo sapiens	2022/5/7	Kenya
KEN/SS8394/2022	KEN/SS8394/2022	Nextstrain	ON603303	BA.2.12.1	Complete	29903	High	NA	Homo sapiens	2022/5/8	Kenya
KEN/SS8451/2022	KEN/SS8451/2022	Nextstrain	ON652732	BA.2.31	Complete	29903	High	NA	Homo sapiens	2022/5/20	Kenya
KEN/SS8452/2022	KEN/SS8452/2022	Nextstrain	ON652733	BA.2.12.1	Complete	29903	High	NA	Homo sapiens	2022/5/18	Kenya
KEN/SS8459/2022	KEN/SS8459/2022	Nextstrain	ON652740	BA.2.12.1	Complete	29903	High	NA	Homo sapiens	2022/5/16	Kenya
KEN/SS8461/2022	KEN/SS8461/2022	Nextstrain	ON652742	BA.2.12.1	Complete	29903	High	NA	Homo sapiens	2022/5/17	Kenya
KEN/SS8463/2022	KEN/SS8463/2022	Nextstrain	ON652744	BA.2.31	Complete	29903	High	NA	Homo sapiens	2022/5/18	Kenya
KEN/SS8469/2022	KEN/SS8469/2022	Nextstrain	ON652749	BA.2.31	Complete	29903	High	NA	Homo sapiens	2022/5/19	Kenya
KEN/SS8546/2022	KEN/SS8546/2022	Nextstrain	ON739048	BA.1.18	Complete	29903	High	NA	Homo sapiens	2022/1/10	Kenya
KEN/SS8547/2022	KEN/SS8547/2022	Nextstrain	ON739049	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/10	Kenya
KEN/SS8655/2022	KEN/SS8655/2022	Nextstrain	ON739146	BA.2.31	Complete	29903	High	NA	Homo sapiens	2022/5/18	Kenya
KEN/SS8661/2022	KEN/SS8661/2022	Nextstrain	ON739151	BA.4.1	Complete	29903	High	NA	Homo sapiens	2022/5/20	Kenya
KEN/SS8664/2022	KEN/SS8664/2022	Nextstrain	ON739154	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/5/22	Kenya
KEN/SS8665/2022	KEN/SS8665/2022	Nextstrain	ON739155	BA.4.1	Complete	29903	High	NA	Homo sapiens	2022/5/23	Kenya
KEN/SS8668/2022	KEN/SS8668/2022	Nextstrain	ON739158	BA.4.1	Complete	29903	High	NA	Homo sapiens	2022/5/25	Kenya
KEN/SS8669/2022	KEN/SS8669/2022	Nextstrain	ON739159	BA.4.1	Complete	29903	High	NA	Homo sapiens	2022/5/25	Kenya
KEN/SS8670/2022	KEN/SS8670/2022	Nextstrain	ON739160	BA.4.1	Complete	29903	High	NA	Homo sapiens	2022/5/25	Kenya
KEN/SS8671/2022	KEN/SS8671/2022	Nextstrain	ON739161	BA.4	Complete	29903	High	NA	Homo sapiens	2022/5/25	Kenya
KEN/SS8673/2022	KEN/SS8673/2022	Nextstrain	ON739163	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/5/25	Kenya
KEN/SS8679/2022	KEN/SS8679/2022	Nextstrain	ON814118	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/5/23	Kenya
